"year","vat_base_avg","base_observations"
"1976",0.532052743669434,12
"1980",0.508600020188492,13
"1984",0.504244516044596,13
"1988",0.529847184744998,18
"1992",0.462222222222222,27
"1996",0.517058823529412,34
"2000",0.557142857142857,35
"2005",0.57464449162882,36
"2007",0.587526179725521,36
"2008",0.563956782080044,36
"2009",0.532097331497233,36
"2010",0.547092330172875,36
"2011",0.542586702119299,36
"2012",0.540907438738227,36
"2013",0.540754382958497,36
"2014",0.548759882723465,36
"2015",0.548872381503147,36
"2016",0.552110773435536,36
"2017",0.558220822645856,36
"2018",0.564606101596008,36
"2019",0.578753311977021,33
