"year","consumption_pct_gdp","vat_pct_gdp","sales_pct_gdp","excise_pct_gdp","pct_gdp_observations","consumption_pct_rev","vat_pct_rev","sales_pct_rev","excise_pct_rev","pct_rev_observations","vat_rate_avg","rates_observations","vat_threshold_avg","threshold_observations","vat_base_avg","base_observations"
1975,9.12244,3.08552173913043,1.17086956521739,2.8524,25,32.81952,8.83217391304348,4.79026086956522,10.4952,25,15.6269230769231,13,NA,NA,NA,NA
1976,9.03933333333333,3.38895454545455,0.863090909090909,2.99283333333333,24,31.480375,9.37572727272727,3.67440909090909,10.5265416666667,24,NA,NA,NA,NA,0.532052743669434,12
1977,9.129125,3.54154545454545,0.849045454545455,2.95875,24,31.1120833333333,9.83390909090909,3.52218181818182,10.1296666666667,24,NA,NA,NA,NA,NA,NA
1978,9.10179166666667,3.78295454545455,0.782045454545455,2.84125,24,31.0945,10.8071818181818,3.207,9.76704166666667,24,NA,NA,NA,NA,NA,NA
1979,9.08804166666667,3.80313636363636,0.799136363636364,2.89045833333333,24,31.06975,10.8982272727273,3.23268181818182,10.0437083333333,24,NA,NA,NA,NA,NA,NA
1980,9.49842307692308,3.65520833333333,1.11904166666667,2.87023076923077,26,32.5411153846154,10.6740416666667,4.24716666666667,9.80392307692308,26,NA,NA,NA,NA,0.508600020188492,13
1981,9.71569230769231,3.71420833333333,1.18675,2.96823076923077,26,32.5850769230769,10.6829583333333,4.348,9.87861538461538,26,NA,NA,NA,NA,NA,NA
1982,9.91684615384615,3.72395833333333,1.21475,3.02292307692308,26,32.9678076923077,10.606125,4.36341666666667,9.98492307692308,26,NA,NA,NA,NA,NA,NA
1983,10.1215769230769,3.83429166666667,1.21575,3.07157692307692,26,33.7805,10.8436666666667,4.514375,10.1121923076923,26,NA,NA,NA,NA,NA,NA
1984,10.1828076923077,3.88833333333333,1.24733333333333,3.05753846153846,26,33.7938076923077,10.9920833333333,4.54383333333333,10.0521538461538,26,NA,NA,NA,NA,0.504244516044596,13
1985,10.1451153846154,3.83276,1.21316,2.986,26,33.7069230769231,11.30812,4.48604,9.53107692307692,26,17.2976470588235,17,NA,NA,NA,NA
1986,10.3766538461538,4.30644,1.1012,3.09826923076923,26,33.7005769230769,12.82196,3.96052,9.75242307692308,26,NA,NA,NA,NA,NA,NA
1987,10.5825769230769,4.82316,0.9152,2.98911538461538,26,34.0110384615385,14.43604,3.23892,9.20584615384615,26,NA,NA,NA,NA,NA,NA
1988,10.4053461538462,4.84252,0.9836,2.80153846153846,26,33.1326923076923,14.57396,3.34264,8.70061538461538,26,NA,NA,NA,NA,0.529847184744998,18
1989,10.1776538461538,4.67184615384615,0.905461538461538,2.65780769230769,26,32.3835384615385,14.1443846153846,3.05438461538462,8.29796153846154,26,NA,NA,NA,NA,NA,NA
1990,9.85896428571429,5.10892857142857,0.398821428571429,2.5585,28,33.2466785714286,16.9383571428571,1.38128571428571,8.41746428571428,28,NA,NA,NA,NA,NA,NA
1991,10.0042,5.0822,0.239366666666667,2.62146666666667,30,32.7208666666667,16.506,0.886166666666667,8.3514,30,NA,NA,NA,NA,NA,NA
1992,10.2423,5.1573,0.241133333333333,2.7398,30,33.0481,16.5253333333333,0.892,8.687,30,NA,NA,NA,NA,0.462222222222222,27
1993,10.3577096774194,5.38283870967742,0.216064516129032,2.772,31,32.9658387096774,16.9978387096774,0.812548387096774,8.68435483870968,31,NA,NA,NA,NA,NA,NA
1994,10.5046129032258,5.58993548387097,0.226032258064516,2.9061935483871,31,33.4581290322581,17.6224838709677,0.835387096774194,9.05603225806452,31,NA,NA,NA,NA,NA,NA
1995,10.813972972973,5.772,0.267567567567568,2.69067567567568,37,34.0512432432432,18.1945135135135,0.908081081081081,8.35654054054054,37,17.675,32,NA,NA,NA,NA
1996,10.8762162162162,5.81851351351351,0.258702702702703,2.74483783783784,37,34.1015945945946,18.2675945945946,0.878297297297297,8.47956756756757,37,NA,NA,NA,NA,0.517058823529412,34
1997,10.8692432432432,5.93686486486486,0.249135135135135,2.72294594594595,37,33.8561351351351,18.4598378378378,0.842621621621622,8.36875675675676,37,NA,NA,NA,NA,NA,NA
1998,10.8946486486486,5.92435135135135,0.248351351351351,2.81521621621622,37,33.7742702702703,18.282972972973,0.847702702702703,8.65651351351351,37,NA,NA,NA,NA,NA,NA
1999,11.0022432432432,6.1422972972973,0.245378378378378,2.9217027027027,37,33.8835405405405,18.7751351351351,0.83772972972973,9.03545945945946,37,NA,NA,NA,NA,NA,NA
2000,10.8396486486486,6.3492972972973,0.183081081081081,2.82083783783784,37,33.5632702702703,19.5595135135135,0.624243243243243,8.68932432432432,37,NA,NA,NA,NA,0.557142857142857,35
2001,10.6215945945946,6.26851351351351,0.173081081081081,2.77737837837838,37,33.3464054054054,19.5454324324324,0.596027027027027,8.73554054054054,37,NA,NA,NA,NA,NA,NA
2002,10.7334594594595,6.35021621621622,0.170486486486486,2.83027027027027,37,33.8240810810811,19.8641891891892,0.614108108108108,8.95724324324324,37,NA,NA,NA,NA,NA,NA
2003,10.7862162162162,6.38145945945946,0.170189189189189,2.85405405405405,37,34.0411081081081,20.0508918918919,0.628243243243243,8.9975945945946,37,NA,NA,NA,NA,NA,NA
2004,10.7667297297297,6.40735135135135,0.174567567567568,2.82337837837838,37,33.9049459459459,20.1250540540541,0.634567567567568,8.86494594594595,37,NA,NA,NA,NA,NA,NA
2005,10.8331081081081,6.51959459459459,0.174945945945946,2.78802702702703,37,33.553027027027,20.1533783783784,0.622648648648649,8.58505405405405,37,17.7694444444444,36,NA,NA,0.57464449162882,36
2006,10.7298648648649,6.53351351351351,0.174081081081081,2.65975675675676,37,32.965,20.0711621621622,0.610972972972973,8.08978378378378,37,NA,NA,NA,NA,NA,NA
2007,10.6594864864865,6.49421621621622,0.178972972972973,2.60186486486487,37,32.6302432432432,19.8677297297297,0.627108108108108,7.89667567567568,37,17.7277777777778,36,27427.3819733031,29,0.587526179725521,36
2008,10.3696486486486,6.35994594594595,0.133783783783784,2.49521621621622,37,32.456972972973,19.8949459459459,0.509864864864865,7.71162162162162,37,17.7,36,NA,NA,0.563956782080044,36
2009,10.299027027027,6.18181081081081,0.128567567567568,2.60289189189189,37,32.9757297297297,19.744,0.527567567567568,8.23456756756757,37,17.7277777777778,36,NA,NA,0.532097331497233,36
2010,10.6004594594595,6.41289189189189,0.134648648648649,2.6477027027027,37,33.8334054054054,20.4514864864865,0.540756756756757,8.36924324324324,37,18.1305555555556,36,32780.476412113,32,0.547092330172875,36
2011,10.6787297297297,6.48713513513514,0.136135135135135,2.628,37,33.6187027027027,20.4602432432432,0.533972972972973,8.17116216216216,37,18.6416666666667,36,31774.010435397,33,0.542586702119299,36
2012,10.7604594594595,6.51659459459459,0.133108108108108,2.62127027027027,37,33.3609189189189,20.2487837837838,0.522135135135135,8.03602702702703,37,18.7805555555556,36,34713.5698517569,33,0.540907438738227,36
2013,10.7736216216216,6.53145945945946,0.132540540540541,2.58791891891892,37,33.1488108108108,20.1500540540541,0.502783783783784,7.89489189189189,37,18.975,36,35841.1597711281,33,0.540754382958497,36
2014,10.8429189189189,6.64489189189189,0.141216216216216,2.53102702702703,37,33.2434324324324,20.4226216216216,0.531432432432432,7.71086486486486,37,19.0972222222222,36,38055.0973780303,35,0.548759882723465,36
2015,10.880027027027,6.65889189189189,0.137108108108108,2.54132432432432,37,33.2066486486486,20.2812972972973,0.513594594594595,7.79686486486487,37,19.1944444444444,36,NA,NA,0.548872381503147,36
2016,10.9945405405405,6.70762162162162,0.142405405405405,2.57908108108108,37,32.9875135135135,20.0604054054054,0.537324324324324,7.78202702702703,37,19.1666666666667,36,39434.7722035278,14,0.552110773435536,36
2017,10.962,6.77467567567568,0.131945945945946,2.51286486486487,37,33.0151621621622,20.3864054054054,0.49127027027027,7.59148648648649,37,19.2777777777778,36,NA,NA,0.558220822645856,36
2018,10.941027027027,6.83235135135135,0.129783783783784,2.42618918918919,37,32.729,20.4093783783784,0.506513513513513,7.23924324324324,37,19.2694444444444,36,46763.0059744433,35,0.564606101596008,36
2019,10.7564324324324,6.84483783783784,0.128837837837838,2.25678378378378,37,32.2531621621622,20.4558918918919,0.504297297297297,6.77605405405405,37,19.2694444444444,36,NA,NA,0.578753311977021,33
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.325,36,49100.1582137396,36,NA,NA
