"country","year","rate"
"Australia","2005",10
"Austria","2005",20
"Belgium","2005",21
"Canada","2005",7
"Chile","2005",19
"Colombia","2005",16
"Czech Republic","2005",19
"Denmark","2005",25
"Estonia","2005",18
"Finland","2005",22
"France","2005",19.6
"Germany","2005",16
"Greece","2005",18
"Hungary","2005",25
"Iceland","2005",24.5
"Ireland","2005",21
"Israel","2005",17
"Italy","2005",20
"Japan","2005",5
"Korea","2005",10
"Latvia","2005",18
"Lithuania","2005",18
"Luxembourg","2005",15
"Mexico","2005",15
"Netherlands","2005",19
"New Zealand","2005",12.5
"Norway","2005",25
"Poland","2005",22
"Portugal","2005",19
"Slovak Republic","2005",19
"Slovenia","2005",20
"Spain","2005",16
"Sweden","2005",25
"Switzerland","2005",7.6
"Turkey","2005",18
"United Kingdom","2005",17.5
"Australia","2007",10
"Austria","2007",20
"Belgium","2007",21
"Canada","2007",6
"Chile","2007",19
"Colombia","2007",16
"Czech Republic","2007",19
"Denmark","2007",25
"Estonia","2007",18
"Finland","2007",22
"France","2007",19.6
"Germany","2007",19
"Greece","2007",19
"Hungary","2007",20
"Iceland","2007",24.5
"Ireland","2007",21
"Israel","2007",15.5
"Italy","2007",20
"Japan","2007",5
"Korea","2007",10
"Latvia","2007",18
"Lithuania","2007",18
"Luxembourg","2007",15
"Mexico","2007",15
"Netherlands","2007",19
"New Zealand","2007",12.5
"Norway","2007",25
"Poland","2007",22
"Portugal","2007",21
"Slovak Republic","2007",19
"Slovenia","2007",20
"Spain","2007",16
"Sweden","2007",25
"Switzerland","2007",7.6
"Turkey","2007",18
"United Kingdom","2007",17.5
"Australia","2008",10
"Austria","2008",20
"Belgium","2008",21
"Canada","2008",5
"Chile","2008",19
"Colombia","2008",16
"Czech Republic","2008",19
"Denmark","2008",25
"Estonia","2008",18
"Finland","2008",22
"France","2008",19.6
"Germany","2008",19
"Greece","2008",19
"Hungary","2008",20
"Iceland","2008",24.5
"Ireland","2008",21
"Israel","2008",15.5
"Italy","2008",20
"Japan","2008",5
"Korea","2008",10
"Latvia","2008",18
"Lithuania","2008",18
"Luxembourg","2008",15
"Mexico","2008",15
"Netherlands","2008",19
"New Zealand","2008",12.5
"Norway","2008",25
"Poland","2008",22
"Portugal","2008",21
"Slovak Republic","2008",19
"Slovenia","2008",20
"Spain","2008",16
"Sweden","2008",25
"Switzerland","2008",7.6
"Turkey","2008",18
"United Kingdom","2008",17.5
"Australia","2009",10
"Austria","2009",20
"Belgium","2009",21
"Canada","2009",5
"Chile","2009",19
"Colombia","2009",16
"Czech Republic","2009",19
"Denmark","2009",25
"Estonia","2009",18
"Finland","2009",22
"France","2009",19.6
"Germany","2009",19
"Greece","2009",19
"Hungary","2009",20
"Iceland","2009",24.5
"Ireland","2009",21.5
"Israel","2009",15.5
"Italy","2009",20
"Japan","2009",5
"Korea","2009",10
"Latvia","2009",21
"Lithuania","2009",19
"Luxembourg","2009",15
"Mexico","2009",15
"Netherlands","2009",19
"New Zealand","2009",12.5
"Norway","2009",25
"Poland","2009",22
"Portugal","2009",20
"Slovak Republic","2009",19
"Slovenia","2009",20
"Spain","2009",16
"Sweden","2009",25
"Switzerland","2009",7.6
"Turkey","2009",18
"United Kingdom","2009",15
"Australia","2010",10
"Austria","2010",20
"Belgium","2010",21
"Canada","2010",5
"Chile","2010",19
"Colombia","2010",16
"Czech Republic","2010",20
"Denmark","2010",25
"Estonia","2010",20
"Finland","2010",22
"France","2010",19.6
"Germany","2010",19
"Greece","2010",19
"Hungary","2010",25
"Iceland","2010",25.5
"Ireland","2010",21
"Israel","2010",16
"Italy","2010",20
"Japan","2010",5
"Korea","2010",10
"Latvia","2010",21
"Lithuania","2010",21
"Luxembourg","2010",15
"Mexico","2010",16
"Netherlands","2010",19
"New Zealand","2010",12.5
"Norway","2010",25
"Poland","2010",22
"Portugal","2010",20
"Slovak Republic","2010",19
"Slovenia","2010",20
"Spain","2010",16
"Sweden","2010",25
"Switzerland","2010",7.6
"Turkey","2010",18
"United Kingdom","2010",17.5
"Australia","2011",10
"Austria","2011",20
"Belgium","2011",21
"Canada","2011",5
"Chile","2011",19
"Colombia","2011",16
"Czech Republic","2011",20
"Denmark","2011",25
"Estonia","2011",20
"Finland","2011",23
"France","2011",19.6
"Germany","2011",19
"Greece","2011",23
"Hungary","2011",25
"Iceland","2011",25.5
"Ireland","2011",21
"Israel","2011",16
"Italy","2011",20
"Japan","2011",5
"Korea","2011",10
"Latvia","2011",22
"Lithuania","2011",21
"Luxembourg","2011",15
"Mexico","2011",16
"Netherlands","2011",19
"New Zealand","2011",15
"Norway","2011",25
"Poland","2011",23
"Portugal","2011",23
"Slovak Republic","2011",20
"Slovenia","2011",20
"Spain","2011",18
"Sweden","2011",25
"Switzerland","2011",8
"Turkey","2011",18
"United Kingdom","2011",20
"Australia","2012",10
"Austria","2012",20
"Belgium","2012",21
"Canada","2012",5
"Chile","2012",19
"Colombia","2012",16
"Czech Republic","2012",20
"Denmark","2012",25
"Estonia","2012",20
"Finland","2012",23
"France","2012",19.6
"Germany","2012",19
"Greece","2012",23
"Hungary","2012",27
"Iceland","2012",25.5
"Ireland","2012",23
"Israel","2012",16
"Italy","2012",21
"Japan","2012",5
"Korea","2012",10
"Latvia","2012",22
"Lithuania","2012",21
"Luxembourg","2012",15
"Mexico","2012",16
"Netherlands","2012",19
"New Zealand","2012",15
"Norway","2012",25
"Poland","2012",23
"Portugal","2012",23
"Slovak Republic","2012",20
"Slovenia","2012",20
"Spain","2012",18
"Sweden","2012",25
"Switzerland","2012",8
"Turkey","2012",18
"United Kingdom","2012",20
"Australia","2013",10
"Austria","2013",20
"Belgium","2013",21
"Canada","2013",5
"Chile","2013",19
"Colombia","2013",16
"Czech Republic","2013",21
"Denmark","2013",25
"Estonia","2013",20
"Finland","2013",24
"France","2013",19.6
"Germany","2013",19
"Greece","2013",23
"Hungary","2013",27
"Iceland","2013",25.5
"Ireland","2013",23
"Israel","2013",17
"Italy","2013",21
"Japan","2013",5
"Korea","2013",10
"Latvia","2013",21
"Lithuania","2013",21
"Luxembourg","2013",15
"Mexico","2013",16
"Netherlands","2013",21
"New Zealand","2013",15
"Norway","2013",25
"Poland","2013",23
"Portugal","2013",23
"Slovak Republic","2013",20
"Slovenia","2013",20
"Spain","2013",21
"Sweden","2013",25
"Switzerland","2013",8
"Turkey","2013",18
"United Kingdom","2013",20
"Australia","2014",10
"Austria","2014",20
"Belgium","2014",21
"Canada","2014",5
"Chile","2014",19
"Colombia","2014",16
"Czech Republic","2014",21
"Denmark","2014",25
"Estonia","2014",20
"Finland","2014",24
"France","2014",20
"Germany","2014",19
"Greece","2014",23
"Hungary","2014",27
"Iceland","2014",25.5
"Ireland","2014",23
"Israel","2014",18
"Italy","2014",22
"Japan","2014",5
"Korea","2014",10
"Latvia","2014",21
"Lithuania","2014",21
"Luxembourg","2014",15
"Mexico","2014",16
"Netherlands","2014",21
"New Zealand","2014",15
"Norway","2014",25
"Poland","2014",23
"Portugal","2014",23
"Slovak Republic","2014",20
"Slovenia","2014",22
"Spain","2014",21
"Sweden","2014",25
"Switzerland","2014",8
"Turkey","2014",18
"United Kingdom","2014",20
"Australia","2015",10
"Austria","2015",20
"Belgium","2015",21
"Canada","2015",5
"Chile","2015",19
"Colombia","2015",16
"Czech Republic","2015",21
"Denmark","2015",25
"Estonia","2015",20
"Finland","2015",24
"France","2015",20
"Germany","2015",19
"Greece","2015",23
"Hungary","2015",27
"Iceland","2015",24
"Ireland","2015",23
"Israel","2015",18
"Italy","2015",22
"Japan","2015",8
"Korea","2015",10
"Latvia","2015",21
"Lithuania","2015",21
"Luxembourg","2015",17
"Mexico","2015",16
"Netherlands","2015",21
"New Zealand","2015",15
"Norway","2015",25
"Poland","2015",23
"Portugal","2015",23
"Slovak Republic","2015",20
"Slovenia","2015",22
"Spain","2015",21
"Sweden","2015",25
"Switzerland","2015",8
"Turkey","2015",18
"United Kingdom","2015",20
"Australia","2016",10
"Austria","2016",20
"Belgium","2016",21
"Canada","2016",5
"Chile","2016",19
"Colombia","2016",16
"Czech Republic","2016",21
"Denmark","2016",25
"Estonia","2016",20
"Finland","2016",24
"France","2016",20
"Germany","2016",19
"Greece","2016",23
"Hungary","2016",27
"Iceland","2016",24
"Ireland","2016",23
"Israel","2016",17
"Italy","2016",22
"Japan","2016",8
"Korea","2016",10
"Latvia","2016",21
"Lithuania","2016",21
"Luxembourg","2016",17
"Mexico","2016",16
"Netherlands","2016",21
"New Zealand","2016",15
"Norway","2016",25
"Poland","2016",23
"Portugal","2016",23
"Slovak Republic","2016",20
"Slovenia","2016",22
"Spain","2016",21
"Sweden","2016",25
"Switzerland","2016",8
"Turkey","2016",18
"United Kingdom","2016",20
"Australia","2017",10
"Austria","2017",20
"Belgium","2017",21
"Canada","2017",5
"Chile","2017",19
"Colombia","2017",19
"Czech Republic","2017",21
"Denmark","2017",25
"Estonia","2017",20
"Finland","2017",24
"France","2017",20
"Germany","2017",19
"Greece","2017",24
"Hungary","2017",27
"Iceland","2017",24
"Ireland","2017",23
"Israel","2017",17
"Italy","2017",22
"Japan","2017",8
"Korea","2017",10
"Latvia","2017",21
"Lithuania","2017",21
"Luxembourg","2017",17
"Mexico","2017",16
"Netherlands","2017",21
"New Zealand","2017",15
"Norway","2017",25
"Poland","2017",23
"Portugal","2017",23
"Slovak Republic","2017",20
"Slovenia","2017",22
"Spain","2017",21
"Sweden","2017",25
"Switzerland","2017",8
"Turkey","2017",18
"United Kingdom","2017",20
"Australia","2018",10
"Austria","2018",20
"Belgium","2018",21
"Canada","2018",5
"Chile","2018",19
"Colombia","2018",19
"Czech Republic","2018",21
"Denmark","2018",25
"Estonia","2018",20
"Finland","2018",24
"France","2018",20
"Germany","2018",19
"Greece","2018",24
"Hungary","2018",27
"Iceland","2018",24
"Ireland","2018",23
"Israel","2018",17
"Italy","2018",22
"Japan","2018",8
"Korea","2018",10
"Latvia","2018",21
"Lithuania","2018",21
"Luxembourg","2018",17
"Mexico","2018",16
"Netherlands","2018",21
"New Zealand","2018",15
"Norway","2018",25
"Poland","2018",23
"Portugal","2018",23
"Slovak Republic","2018",20
"Slovenia","2018",22
"Spain","2018",21
"Sweden","2018",25
"Switzerland","2018",7.7
"Turkey","2018",18
"United Kingdom","2018",20
"Australia","2019",10
"Austria","2019",20
"Belgium","2019",21
"Canada","2019",5
"Chile","2019",19
"Colombia","2019",19
"Czech Republic","2019",21
"Denmark","2019",25
"Estonia","2019",20
"Finland","2019",24
"France","2019",20
"Germany","2019",19
"Greece","2019",24
"Hungary","2019",27
"Iceland","2019",24
"Ireland","2019",23
"Israel","2019",17
"Italy","2019",22
"Japan","2019",8
"Korea","2019",10
"Latvia","2019",21
"Lithuania","2019",21
"Luxembourg","2019",17
"Mexico","2019",16
"Netherlands","2019",21
"New Zealand","2019",15
"Norway","2019",25
"Poland","2019",23
"Portugal","2019",23
"Slovak Republic","2019",20
"Slovenia","2019",22
"Spain","2019",21
"Sweden","2019",25
"Switzerland","2019",7.7
"Turkey","2019",18
"United Kingdom","2019",20
"Australia","2020",10
"Austria","2020",20
"Belgium","2020",21
"Canada","2020",5
"Chile","2020",19
"Colombia","2020",19
"Czech Republic","2020",21
"Denmark","2020",25
"Estonia","2020",20
"Finland","2020",24
"France","2020",20
"Germany","2020",19
"Greece","2020",24
"Hungary","2020",27
"Iceland","2020",24
"Ireland","2020",23
"Israel","2020",17
"Italy","2020",22
"Japan","2020",10
"Korea","2020",10
"Latvia","2020",21
"Lithuania","2020",21
"Luxembourg","2020",17
"Mexico","2020",16
"Netherlands","2020",21
"New Zealand","2020",15
"Norway","2020",25
"Poland","2020",23
"Portugal","2020",23
"Slovak Republic","2020",20
"Slovenia","2020",22
"Spain","2020",21
"Sweden","2020",25
"Switzerland","2020",7.7
"Turkey","2020",18
"United Kingdom","2020",20
